month,M1_mio_PLN,M2_mio_PLN,M3_mio_PLN,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM,consumer_price_index_MoM,core_inflation_net_of_administered_prices_excluded_MoM,core_inflation_net_of_most_volatile_prices_MoM,core_inflation_net_of_food_and_energy_prices_MoM,core_inflation_15pct_trimmed_mean_MoM,total_deposits_mln_PLN,total_overnight_deposits_mln_PLN,total_term_deposits_mln_PLN,total_accrued_interest_on_deposits_mln_PLN,total_consumption_loans_mln_PLN,total_loans_for_purchase_of_property_mln_PLN,total_loans_to_households_mln_PLN,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN,registered_unemployed_in_thousands,rate_of_unemployment,average_monthly_salary_in_private_sector_PLN,rail_transport_mln_ton-km,new_flats_added,current_account_mln_PLN,capital_account_mln_PLN,financial_account_mln_PLN
03/2015,620090.093,1050848.922,1066042.165,98.1,100.4,80.5,98.5,99.9,100.2,100.8,100,100.2,100.2,100.2,100.1,100.1,100.1,606507.338,309239.312,297268.026,3516.52,138741.182,375700.786,595651.512,370293.8,14877.2,347723.8,1860.6,11.5,4214.14,4246.9,10462,2196,5093,6612
04/2015,612559.548,1043441.637,1055849.171,98.3,98.8,80,100.5,100.6,100,103.1,100,100.8,100.4,100.5,100.3,100.4,100.1,606048.712,311679.064,294369.648,3442.836,139150.358,373647.692,594608.697,370370.7,14341.2,348475.8,1782.2,11.1,4123.26,4053.2,10435,5468,486,4667
05/2015,621988.827,1052740.961,1065807.766,94.9,100.9,80.4,96.2,99.8,100,100,100,99.6,100,100,99.9,100,100,608192.765,314288.317,293904.448,3402.623,140888.1,380543.93,604231.09,387714.9,14838.6,365108.3,1702.1,10.7,4002.16,4337.5,10410,3647,3490,4506
06/2015,638624.618,1065897.275,1077727.45,100.6,101.5,81.3,104.6,100.1,100.1,99.2,99.9,99.3,100,100.1,99.9,99.9,100,611955.715,319061.15,292894.565,3280.451,141364.921,384128.229,609240.238,391735.9,14636.6,369382,1622.3,10.2,4039.7,4212.3,11418,-8137,852,-7408
07/2015,639680.587,1074074.485,1087321.871,102.4,93.4,81,99.6,98.9,100,97.5,100.1,101.6,99.9,99.9,100,100.2,100,616415.383,320372.141,296043.242,3166.869,142313.983,381332.879,608183.657,374253.8,13555.3,352990,1585.7,10,4095.26,4349.9,12886,-5679,14943,6821
08/2015,652363.722,1083208.702,1094496.91,96.9,100.8,84.1,99.3,99.3,100,97.6,100,100,99.6,99.6,99.9,99.9,100,621194.625,323909.257,297285.368,3131.87,143712.107,382378.631,610053.064,373053.5,14189.7,351070.6,1563.5,9.9,4024.95,4230.7,11215,-3028,3896,-561
09/2015,655895.841,1094310.501,1106539.682,101.5,99.5,87.3,105.3,100.6,100,100.9,100.5,99.8,99.7,99.8,100,99.8,100,623967.994,323033.671,300934.323,3085.451,144755.958,381898.956,610814.939,383089.8,14023.8,361483.6,1539.4,9.7,4059.19,4639.8,13264,-2763,334,-2564
10/2015,657277.73,1107298.067,1120685.204,100.8,101.3,90.1,95.1,100.4,100,103.3,100.3,99.7,100.1,100.1,100.1,100.2,100,630329.133,326013.78,304315.353,2987.185,145408.467,384798.34,614340.47,390509.4,14716.9,368072.5,1516.9,9.6,4110.77,4821.3,14965,-881,1311,-2714
11/2015,676818.137,1118293.72,1130023.045,101.7,103.4,90.9,88.3,99.7,100,99.7,100,99.9,99.9,99.9,99.9,99.9,100,635530.092,330222.816,305307.276,2927.301,146061.201,385284.686,615692.87,395158.6,14079.9,373222.5,1530.6,9.6,4164.01,4583.3,13736,-128,2640,-945
12/2015,692124.41,1145258.817,1154992.6,100.9,100.9,91.4,99.2,99.9,100,99,100,100,99.8,99.8,99.8,100,99.9,650754.956,339117.881,311637.075,2930.392,146787.853,386400.512,616770.301,370296.7,13713.4,348879.4,1563.3,9.7,4515.28,4065.3,17679,-3510,-639,-8129
01/2016,686587.912,1140951.337,1151171.506,98.6,99,91.5,103.3,101,100.1,96.4,100,100.1,99.5,99.5,99.7,99.5,99.9,657853.137,342998.045,314855.092,2864.402,146998.843,390189.412,621477.281,406190.9,14997.8,383393.4,1647.5,10.2,4101.36,3442.9,12771,2083,7136,6506
02/2016,700614.333,1150393.358,1158908.406,96,97.7,90.7,103.4,100.3,100.3,98.2,100,100.1,99.9,99.9,99.9,100,100,663913.62,346324.908,317588.712,2821.344,147521.723,390278.537,622601.817,394940.2,16309.9,374380.5,1652.7,10.2,4137.55,3743.4,12256,-2433,3143,-2977
03/2016,705866.014,1154736.097,1162602.993,98.2,92.21,87.5,102.5,100.4,99.9,101.8,100,99.9,100.1,100.2,100.1,100,100.1,667813.711,351753.882,316059.829,2761.281,148376.432,387462.843,620770.023,377895,15347.1,358439.2,1600.5,9.9,4351.45,4190.7,12396,-2525,111,-6094
04/2016,711237.128,1169793.673,1178341.912,98.9,108,87.9,97.7,100.3,100.2,102.7,100,99.4,100.3,100.4,100.3,100.3,100.2,671446.287,355756.392,315689.895,2680.83,149937.024,393885.738,629808.568,406763.1,16340.1,386199.2,1521.8,9.4,4313.57,4154.4,13711,1652,274,205
05/2016,728624.606,1180640.185,1189370.856,100.3,102.7,89,109.6,99.9,100.1,99.5,100,100,100.1,100.2,100,100,100.1,674172.42,360065.062,314107.358,2612.153,151335.121,393033.516,630726.118,425248.2,15772.4,405228.3,1456.9,9.1,4166.28,4187,10907,689,-213,-198
06/2016,740258.495,1192033.525,1200885.98,101.3,100.2,90.6,108.9,100.2,100.1,99.4,99.9,99.7,100.2,100.3,100.1,100.1,100,683225.025,369055.847,314169.178,2558.841,152750.561,397925.898,636731.869,438896.2,17349.8,417257,1392.5,8.7,4252.19,4260,11700,4024,-81,2965
07/2016,739420.619,1194740.021,1204004.524,97.7,97.6,93.4,108.3,99,100,96.9,100,100,99.7,99.6,100,100,100,686000.601,371950.231,314050.37,2465.649,153503.894,397003.533,637328.253,429161.1,17360.5,407583.9,1361.5,8.5,4291.85,4224.6,12883,-5429,-33,-2501
