quarter,new_construction_permits_issued,new_constructions_started,dwellings_in_construction,new_dwellings_completed_total,GDP_nominal_current_prices_mln_PLN,export_goods_and_services_current_prices_mln_PLN,imports_goods_and_services_current_prices,GDP_consumption_mln_PLN,GDP_investments_mln_PLN,net_international_investment_position_mln_PLN,overall_liabilities_mln_PLN,liabilities_direct_investment_mln_PLN,liabilities_portfolio_investment_mln_PLN,overall_assets_mln_PLN,assets_direct_investment_mln_PLN,asset_portfolio_investment_mln_PLN
Q2Y2015,48600,48500,716200,32300,434588.4,216169.93355,203916.8,339380.2,82955.1,-1159168,2040076,875631,585843,-1159168,-239564,-93900
Q3Y2015,51200,47700,726600,37400,440965.9,219485.746669,211946.1,344119.2,89307,-1141090,2030639,878526,583927,-1141090,-243831,-104618
Q4Y2015,50400,40300,720600,46400,510746.9,235337.431942,219867.8,352382.3,142895,-1117823,2012597,865672,597774,-1117823,-242442,-120928
Q1Y2016,42700,34300,717500,37400,430411.3,230538.6,212395.9,354473.3,57795.3,-1142481,2051127,908089,577931,-1142481,-249826,-126757
Q2Y2016,55600,52000,733200,36300,451043.3,244563.4,221696.2,348628.5,79547.6,-1135973,2126665,916187,605851,-1135973,-245094,-138772
Q3Y2016,56200,46800,741700,38300,455789.3,237032.5,225002.3,356458.3,87300.8,-1150328,2123537,925048,605490,-1150328,-241749,-138239
Q4Y2016,57000,40800,731200,51300,526242.9,255478.6,238287.4,366625.5,142426.2,-1145973,2175905,941649,604664,-1145973,-267332,-113707
Q1Y2017,60700,44200,734900,40500,458677.9,263926.7,245384.3,375757.5,64378,-1175177,2176529,970145,620345,-1175177,-256302,-126914
Q2Y2017,70600,61800,759000,37800,479296.2,264586.3,243600.8,369214.9,89095.8,-1209518,2169195,964336,635906,-1209518,-255057,-122511
Q3Y2017,59600,54800,767800,45900,491469.1,267281.8,247706.5,379964.9,91928.9,-1216744,2183879,978581,647031,-1216744,-257332,-127939
Q4Y2017,60000,45100,758900,54100,560391.4,281919.9,266055.1,393726.5,150800.1,-1217345,2171443,986849,640333,-1217345,-253992,-123665
Q1Y2018,66600,48000,762200,44600,488230,275811.9,261324.1,396598.5,77143.7,-1204463,2193967,1003367,635556,-1204463,-258489,-137499
Q2Y2018,65600,65700,789700,38200,509006,290913.1,270523.3,393147.1,95469.1,-1175591,2192264,998514,635191,-1175591,-260732,-141552
Q3Y2018,61800,60300,803100,47000,526563.4,292746.8,277607.7,406180.1,105244.2,-1198661,2206952,1020778,630029,-1198661,-246516,-143403
Q4Y2018,63600,47900,795700,55300,597755.6,312505.9,297547.1,420103.5,162693.3,-1185754,2212906,1020248,630850,-1185754,-248836,-133652
Q1Y2019,57300,53900,802200,47400,526340.7,309840.8,284337,422685.2,78151.7,-1190235,2229956,1055937,625582,-1190235,-255574,-139499
Q2Y2019,72300,61500,816600,47100,553235.5,313719.722,287918.5,421714.3,105720,-1185942,2224337,1051944,622120,-1185942,-252816,-138402
Q3Y2019,71800,63100,828400,51200,568172.8,316310.99847975,291126.5,436290,106698.3,-1158517,2270559,1066759,614487,-1158517,-263897,-141785
Q4Y2019,67400,58800,825600,61700,639989.3,330629.5,299441.9,447544,161257.7,-1131123,2236885,1060902,591542,-1131123,-263180,-144985
Q1Y2020,59400,52500,828500,49600,556426.7,319049.1,287082,445997.4,78464.2,-1074012,2238055,1073653,573905,-1074012,-272122,-131188
Q2Y2020,62900,47400,828200,47700,528177.5,274448,233651.6,401331,86050.1,-1041438,2207468,1077024,547334,-1041438,-262805,-147054
Q3Y2020,70100,67400,835900,59600,582494.9,326840,288269.7,456574.8,87349.8,-1032039,2244050,1091645,551424,-1032039,-274202,-152714
